Player,Season,Grade,Games,Innings,NO,Runs,HS,Avg,4s,6s,50s,100s,Ducks,Overs,Maidens,Runs Conceded,Wickets,Best Bowling,Bowl Avg,Economy,5WI,Catches,Catches WK,Stumpings,Run Outs
1,2024/25,,13,12,4,132,42,16.50,11,3,0,0,3,53.4,4,265,8,2-38,33.13,4.94,0,0,,,0
3,2024/25,,9,6,1,43,16,8.60,6,0,0,0,0,14.0,0,83,5,2-10,16.60,5.93,0,0,,,0
2,2024/25,,7,5,0,67,45,13.40,7,0,0,0,1,17.0,3,69,5,3-34,13.80,4.06,0,0,,,0
9,2024/25,,3,,,,,,,,,,,,,,,,,,,0,,,0
4,2024/25,,2,2,0,31,19,15.50,3,1,0,0,0,4.0,0,12,1,1-12,12.00,3.00,0,0,,,0
5,2024/25,,1,1,1,0,0*,,0,0,0,0,0,5.0,1,25,1,1-25,25.00,5.00,0,0,,,0
6,2024/25,,1,,,,,,,,,,,,,,,,,,,0,,,0
1,2025/26,,17,11,2,70,18,7.78,4,0,0,0,3,46.5,2,216,9,2-25,24.00,4.61,0,0,,,0
2,2025/26,,7,6,0,80,33,13.33,3,1,0,0,1,27.3,1,105,8,3-18,13.13,3.82,0,0,,,0
3,2025/26,,2,1,0,1,1,1.00,0,0,0,0,0,8.0,3,9,1,1-9,9.00,1.13,0,0,,,0
4,2025/26,,1,1,0,0,0,0.00,0,0,0,0,1,,,,,,,,,0,,,0
5,2025/26,,1,,,,,,,,,,,6.0,0,29,0,0-29,,4.83,0,0,,,0
