Batter 1,Batter 2,Runs,Wicket,Season,Not Out,Grade,Opposition
KE Woodcock,WH Toy,353,1,1943,No,Whole of Club,University
AJ Trenorden,SG Hill,246,1,1998,No,Whole of Club,Gepps Cross
D Jacobi,WA Margitich,227,1,1998,No,Whole of Club,Unley
AG Durdin,MR Lilley,215,1,2005,No,Whole of Club,Concordia O C
JW Roberts,D Milne,214,1,1956,No,Whole of Club,Basket Range
JC Cook,WH Manning,203,1,1993,No,Whole of Club,Adelaide Deaf
S Battams,K Russell,192,1,1967,No,Whole of Club,Baulderstone
LA Foster,MA Baker,182,1,2018,No,Whole of Club,Pembroke O S
RL Day,AN Wilson,177,1,1999,No,Whole of Club,SPOC
BT Schiller,JJ D’Antini,170,1,2013,No,Whole of Club,AHOS
HD Towers,MC Subramaniam,152,1,2021,No,Limited Overs XI,Woodville South
TS Smith,AS Beddison,150,1,2004,No,Under 13,Hectorville
AJ Benton,NP Zachat,143,1,1998,No,Under 17 & Under 16,Brighton
WJ Vanniekerk,RB Cooper,293,2,1990,No,Whole of Club,PAOC
AS Foster,MJ O'Shea,228,2,1991,No,Whole of Club,Gepps Cross
DR Betterman,AS Foster,222,2,1992,No,Whole of Club,Woodville South
A Kallos,B Goldsworthy,211,2,1990,No,Whole of Club,Woodville Rechabites
DS Hall,MD Bevan,211,2,1991,No,Whole of Club,Ingle Farm
MD Bevan,DS Hall,211,2,1991,No,Under 17 & Under 16,Ingle Farm
NP Zachat,MW Lewis,200,2,2014,No,Whole of Club,Hope Valley
CP O’Donnell,PJ Robertson,199,2,2006,No,Whole of Club,Penfield
SW Lucas,JM May,193,2,2015,No,Whole of Club,Hectorville
GA Wills,AS Foster,191,2,1996,No,Whole of Club,Flinders University
DL Heanes,TM Elliss,181,2,1970,No,Whole of Club,Kensington
WA Margitich,PJ Raymond,165,2,1994,No,3rd XI,Rostrevor O C
LA Foster,FL D’Antini,149,2,2011,No,Limited Overs XI,Old Ignatians
AC Charkiris,SC Scrimgeour,131,2,2014,No,Under 13,Gepps Cross
BP Haynes,NM Delvins,286,3,1995,Yes,Whole of Club,Fulham
PJ Raymond,JA Jacobs,222,3,2002,No,Whole of Club,SPOC
LA Harrington,JW Stagg,220,3,2009,No,Whole of Club,SPOC
DJ Dixey,TM Goodwin,203,3,1979,No,Whole of Club,Pulteney O S
DR Jennings,JY Boerema,203,3,1998,No,Whole of Club,Penfield
TA Goodwin,DJ Rowe,190,3,1993,Yes,Whole of Club,Unley
PJ Raymond,JA Jacobs,188,3,2001,No,Whole of Club,Woodville Rechabites
BL Matheson,TA Goodwin,179,3,1993,No,Whole of Club,Richmond Clarence Pk
JA Jacobs,S Dixey,177,3,2000,No,Whole of Club,Grange
BJ Cowper,LJ Holmes,175,3,1981,No,Whole of Club,PAOC
PA Sexton,GM Vincent,162,3,2015,No,Limited Overs XI,Brighton
BL Matheson,DS Hall,150,3,1991,No,Under 17 & Under 16,Fitzroy
PJ Russo,WD Olds,134,3,1985,No,5th XI,Elizabeth District
MJ Davies,M Caruso,120,3,2005,Yes,Under 13,Hope Valley
AN Wilson,AS Foster,242,4,2002,Yes,2nd XI,Old Scotch
SD Heeps,DJ Dixey,224,4,1988,No,2nd XI,Pooraka
AS Foster,SJ Corcoran,216,4,1997,Yes,3rd XI,Walkerville
M Sheikh,SM Ellicott,207,4,2007,No,1st XI,Brighton
MV Sullivan,NW Jolly,198,4,2006,No,Under 17 & Under 16,Modbury Brown
CM Argent,A Cesare,190,4,1993,No,5th XI,Penfield
PD Rebbeck,RG Chenoweth,186,4,1977,No,1st XI,Flinders Park
AE Baker,PJ Williams,181,4,1991,No,2nd XI,Hope Valley
VR Bhasker,MR Lilley,179,4,2006,No,3rd XI,Golden Grove
BJ Cowper,MA Bradshaw,169,4,1978,No,6th XI,PAOC
GM Vincent,JW Edwards,149,4,2009,No,Limited Overs XI,Para Hills
NW Jolly,A Palani,95,4,2002,No,Under 13,Golden Grove
S Turner,BM Skurrie,225,5,2004,No,Limited Overs XI,Flinders University
AR Martin,P Norman,211,5,1969,No,1st XI,Brighton
KJ Duke,WH Toy,205,5,1947,No,1st XI,Woodville
KJ Francis,RL Potter,202,5,1957,No,2nd XI,Sturt
P Allegretto,CL Goodwin,187,5,1997,No,Under 14,Greenacres
LA Harrington,MT Baker,183,5,2009,No,1st XI,SPOC
PJ Burckhardt,MA Turner,181,5,1989,No,4th XI,Immanuel O S
SD Heeps,NJ Ford,169,5,1989,No,1st XI,Brighton
TD Brook,MJ Szarvas,167,5,2023,Yes,Under 17 & Under 16,Hectorville
PJ Burckhardt,RK Saunders,164,5,1989,No,4th XI,SPOC
SB Lehmann,R Suryanarayana,160,5,2004,No,3rd XI,Elders-U S A
DR Gilbert,NJ Quarrell,117,5,1997,No,5th XI,Penfield
MK Sallis,ACE Waples,78,5,2004,No,Under 13,Golden Grove
DJ Williams,AN Kulow,172,6,2008,No,3rd XI,Kilburn
CM Dawson,N Harnas,157,6,2012,No,2nd XI,Pooraka
J Frearson,GK Price,148,6,1992,No,Under 14,Fitzroy
AG Durdin,AJ Wilton,147,6,1990,No,6th XI,Gepps Cross
BL Bowley,AG Jarvis,141,6,1960,No,1st XI,SPOC
MT Baker,DJ Williams,140,6,2005,No,2nd XI,Brighton
AR Martin,G Hammond,135,6,1964,No,2nd XI,Burnside
WM Blanden,HW Wolsey,133,6,1946,Yes,1st XI,Savings Bank
DJ Dixey,MS Dalton,133,6,1987,Yes,2nd XI,Pulteney O S
P Norman,L Haines,131,6,1952,No,3rd XI,Basket Range
AF Wood,SL McFeeters,121,6,1986,Yes,Under 17 & Under 16,Athelstone
PJ Russo,PJ Golding,121,6,1985,No,5th XI,Old Collegians
LR Thring,H Turner,86,6,2003,No,Limited Overs XI,Hope Valley
TR Butterworth,WH Bradley,83,6,2013,Yes,Under 13,Walkerville
PD Rebbeck,CP O'Donnell,201,7,1991,No,3rd XI,Grange
RW Rutter,JA Jacobs,157,7,1994,Yes,2nd XI,Brighton
KJ Duke,E Cammiss,154,7,1947,No,1st XI,Woodville
RW Rutter,BL Williams,134,7,2008,Yes,4th XI,Port Districts
VR Bhasker,A Kaselouris,133,7,2002,No,4th XI,Marion
I Abbasov,NJ Padley,121,7,1991,No,3rd XI,Brighton
CS Forth,DC Phillips,119,7,1985,No,5th XI,Marion
CS Forth,MA Bradshaw,117,7,1984,No,4th XI,Clarence Park
S Cotter,B Colquist,116,7,1967,No,5th XI,Grange
T Hastings,B Milde,114,7,1972,No,4th XI,Elizabeth North
AR Gilbert,SJ Dunn,105,7,2005,No,Limited Overs XI,Old Ignatians
BR Melville,SJ Zillante,105,7,1999,No,Under 17 & Under 16,Hope Valley
HJ Carey,ME Evans,71,7,2003,No,Under 13,Pooraka
AL Stagg,SP Cowling,179,8,2003,Yes,3rd XI,Richmond Clarence Pk
KG Lees,PJ Golding,136,8,1988,No,4th XI,SPOC
AB Sender,P D'Argenio,135,8,1998,No,Under 13,Broadview
PJ Mander,DJ Von Einem,133,8,1987,No,3rd XI,SPOC
GG Wilson,RG Smith,130,8,2008,No,2nd XI,SPOC
JW Stagg,JJ Gaerth,120,8,2008,No,1st XI,SPOC
DH Adams,AC Tharaldsen,119,8,2003,No,1st XI,Pulteney O S
LO Evans,SM Brister,119,8,2016,No,Under 17,Hectorville
R Warhurst,AW Fuss,116,8,1941,No,1st XI,Col Light Gardens
CI Ansell,GG Wilson,116,8,2011,No,2nd XI,AHOS
P Norman,JL Neumann,115,8,1981,No,6th XI,Pooraka
KL Berndt,DH Elliott,114,8,1956,No,2nd XI,Brighton
D Marotti,HJ Sautebin,113,8,2011,Yes,3rd XI,Flinders Park
JC Felice,R Batusic,106,8,1998,Yes,Limited Overs XI,Rostrevor O C
NJ Padley,MS Dalton,105,8,1991,No,3rd XI,Pooraka
B Foster,NJ Padley,86,8,1983,No,5th XI,Rostrevor O C
J McGlynn,G Codd,81,8,1985,No,Under 17 & Under 16,Hope Valley
WM Blanden,AW Fuss,125,9,1940,No,1st XI,Collegians
KL Berndt,DH Elliott,114,9,1956,No,2nd XI,Brighton
D Marotti,HJ Sautebin,113,9,2011,Yes,3rd XI,Flinders Park
CP Moulds,T O'Reilly,88,9,1980,No,Under 17 & Under 16,Woodville Rechabites
MT Baker,AK Mann,77,9,2002,Yes,Limited Overs XI,Pooraka
KG Lees,R Bruno,67,9,1998,No,5th XI,Richmond Clarence Pk
